French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
chien,dog
maison,house
famille,family
étudier,to study
rouge,red
voiture,car
école,school
livre,book
chaise,chair
lumière,light
porte,door
fenêtre,window
sourire,smile
parc,park
rue,street
pont,bridge
magasin,store
restaurant,restaurant
pomme,apple
soleil,sun
lune,moon
étoile,star
ciel,sky
nuage,cloud
pluie,rain
neige,snow
vent,wind
feu,fire
arbre,tree
fleur,flower
herbe,grass
rivière,river
montagne,mountain
mer,sea
océan,ocean
animal,animal
oiseau,bird
poisson,fish
chat,cat
cheval,horse
jardin,garden
forêt,forest
île,island
chemin,path
voyage,trip
avion,plane
bateau,boat
train,train
voiture,car
vélo,bike
moto,motorcycle
bus,bus
camion,truck
taxi,taxi
garage,garage
route,road
chemin,way
carrefour,crossroad
feu rouge,red light
panneau,sign
vitesse,speed
arrêt,stop
départ,departure
arrivée,arrival
bagage,luggage
ticket,ticket
valise,suitcase
visite,visit
touriste,tourist
vacances,holiday
séjour,stay
réservation,reservation
hôtel,hotel
chambre,room
clef,key
lit,bed
douche,shower
serviette,towel
toilettes,toilets
petit déjeuner,breakfast
déjeuner,lunch
dîner,dinner
repas,meal
restaurant,restaurant
café,cafe
bar,bar
menu,menu
carte,card
boisson,drink
eau,water
vin,wine
bière,beer
thé,tea
café,coffee
lait,milk
sucre,sugar
sel,salt
poivre,pepper
pain,bread
beurre,butter
fromage,cheese
viande,meat
poisson,fish
poulet,chicken
légume,vegetable
fruit,fruit
dessert,dessert
gâteau,cake
chocolat,chocolate
glace,ice cream
bonbon,candy
